rID,Generic_Case_ID,Generic_Offender_ID,Charge_Number,Sentence_Year,Race,Gender,Age_Group,Offense,Offense_Type,Homicide_Type,Offense_Severity_Group,Sentence_Type,Sentence_Imposed_Months,Sentence_Suspended_Months,Sentence_to_Serve_Months,Sentence_Probation_Months,VVCA_AMT,Fine_AMT,Restitution_AMT,Fine_Suspended_AMT
121,7719052,1922856,28,2016,Black,M,18-21,Destruction of Property $1000 or More,Property,,M8,Incarceration,15,0,15,0,100,0,0,0
122,5122742,4765392,2,2016,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
123,5122742,4765392,4,2016,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
124,5122742,4765392,27,2016,Black,M,22-30,Flee Law Enforcement Officer,Other,,M8,Incarceration,24,0,24,0,100,0,0,0
125,5122742,4765392,28,2016,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
126,6485381,2282838,3,2016,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M6,Probation,18,18,0,18,100,0,0,0
127,3629739,5172608,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Short Split,20,20,1,18,100,0,0,0
128,281817,8401753,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,6,6,0,12,100,0,0,0
129,5567858,6729804,1,2016,Black,M,18-21,Theft First Degree,Property,,M8,Incarceration,24,0,24,0,100,0,500,0
130,5567858,6729804,3,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
131,5567858,6729804,4,2016,Black,M,18-21,Flee Law Enforcement Officer,Other,,M8,Incarceration,24,0,24,0,100,0,0,0
132,5567858,6729804,5,2016,Black,M,18-21,Destruction of Property $1000 or More,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
133,5440620,1270751,2,2016,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Probation,20,20,0,12,100,0,0,0
134,5440620,1270751,3,2016,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Probation,20,20,0,12,100,0,0,0
135,6553908,8393864,1,2016,Black,M,18-21,Aggravated Assault Knowingly,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
136,2769422,7256707,1,2016,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M6,Probation,30,30,0,12,200,0,0,0
137,9336553,8612485,1,2016,Black,M,31-40,"Escape, (From Officer)",Other,,M9,Incarceration,7,0,7,0,100,0,0,0
138,7348304,134952,1,2016,Black,M,22-30,Robbery,Violent,,M5,Incarceration,90,0,90,0,100,0,0,0
139,7348304,134952,3,2016,Black,M,22-30,Murder I,Homicide,Murder I,M1,Incarceration,420,0,420,0,100,0,0,0
140,9426662,513958,1,2016,Black,M,18-21,Conspiracy,Other,,M9,Long Split,42,6,36,36,100,0,0,0
141,9426662,513958,2,2016,Black,M,18-21,Assault W/I to Commit Robbery,Violent,,M6,Long Split,60,24,36,36,100,0,0,0
142,7990953,2439219,1,2016,Black,M,31-40,Conspiracy,Other,,M9,Incarceration,60,0,60,0,100,0,0,0
143,7990953,2439219,2,2016,Black,M,31-40,Assault W/I to Commit Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
144,4441144,9925587,2,2016,Black,M,51-60,Unlawful Possession of Liquid PCP,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0
145,3446554,5088430,2,2016,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Short Split,22,16,6,24,100,0,0,0
146,3446554,5088430,3,2016,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Short Split,12,6,6,24,100,0,0,0
147,5160035,1552451,1,2016,White,M,41-50,Prison Breach,Other,,M9,Incarceration,3,0,3,0,100,0,0,0
148,3492059,5894421,1,2016,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M7,Long Split,36,18,18,24,100,0,0,0
149,4720857,836423,1,2016,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M7,Incarceration,22,0,22,0,100,0,0,0
150,5545085,233946,12,2016,Other or Unknown,M,22-30,Attempt to Commit Robbery,Violent,,M8,Long Split,19,1,18,6,100,0,0,0
151,273263,3217590,1,2016,Black,M,41-50,Conspiracy,Other,,M9,Probation,1,1,0,12,100,0,0,0
152,7444130,6391783,2,2016,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0
153,9333514,2242574,1,2016,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Probation,30,30,0,24,100,0,0,0
154,3639204,9837778,1,2016,Black,M,22-30,Theft First Degree,Property,,M8,Probation,2,2,0,10,100,0,0,0
155,9781858,677749,4,2016,Black,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,120,0,120,0,100,0,0,0
156,6983217,6401957,2,2016,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,14,14,1,12,100,0,0,0
157,5683784,3737611,2,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Probation,15,15,0,24,100,0,0,0
158,1212948,2843158,1,2016,Black,M,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Long Split,72,24,48,24,100,0,0,0
159,5273542,4201449,1,2016,Black,M,15-17,First Degree Sexual Abuse,Sex,,M6,Incarceration,36,0,36,0,150,0,0,0
160,8564285,459379,1,2016,Black,M,31-40,Robbery,Violent,,M5,Incarceration,84,0,84,0,100,0,210,0
161,5205011,206669,2,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
162,5205011,206669,3,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
163,4814495,1744743,2,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
164,4814495,1744743,3,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
165,4814495,1744743,4,2016,Black,M,22-30,Assault W/I to Kill,Violent,,M3,Incarceration,144,0,144,0,100,0,0,0
166,4814495,1744743,5,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
167,4814495,1744743,6,2016,Black,M,22-30,Assault On A Police Officer,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
168,4814495,1744743,7,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
169,4814495,1744743,8,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
170,4814495,1744743,9,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
171,4814495,1744743,10,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
172,4814495,1744743,11,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
173,4814495,1744743,12,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
174,4814495,1744743,13,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
175,4814495,1744743,14,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
176,4814495,1744743,15,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
177,4814495,1744743,16,2016,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
178,7136180,6627603,1,2016,Black,M,31-40,Theft First Degree,Property,,M8,Incarceration,12,0,12,0,100,0,0,0
179,7136180,6627603,2,2016,Black,M,31-40,Robbery,Violent,,M6,Incarceration,180,0,180,0,100,0,0,0
180,7136180,6627603,3,2016,Black,M,31-40,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
181,7136180,6627603,4,2016,Black,M,31-40,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
182,4733097,9403619,1,2016,Black,M,51-60,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
183,6935049,3875910,1,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,12,1,12,100,0,0,0
184,8859104,2698406,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,12,0,12,0,100,0,0,0
185,8859104,2698406,3,2016,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Incarceration,12,0,12,0,100,0,0,0
186,3740118,7068481,2,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,18,0,18,0,100,0,500,0
187,5096328,4950119,1,2016,Black,M,31-40,Theft First Degree,Property,,M8,Probation,12,12,0,24,100,0,2330,0
188,5096328,4950119,2,2016,Black,M,31-40,Theft First Degree,Property,,M8,Probation,12,12,0,24,100,0,0,0
189,8764833,372167,1,2016,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,18,18,0,9,100,0,0,0
190,5186275,9193487,1,2016,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
191,5186275,9193487,3,2016,Black,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,18,0,18,0,100,0,0,0
192,1170435,6350169,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,0,0,0
193,6863668,8153860,5,2016,Black,M,15-17,Unarmed Carjacking,Violent,,M5,Incarceration,108,0,108,0,100,0,0,0
194,6863668,8153860,8,2016,Black,M,15-17,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
195,3744113,6766246,1,2016,Black,F,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Long Split,108,54,54,60,250,0,0,0
196,167698,4569396,1,2016,Black,M,22-30,Unauthorized Use of A Vehicle - Crime of Violence,Property,,M7,Incarceration,18,0,18,0,100,0,0,0
197,167698,4569396,4,2016,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
198,167698,4569396,5,2016,Black,M,22-30,Assault W/I to Kill,Violent,,M5,Incarceration,72,0,72,0,100,0,0,0
199,167698,4569396,6,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
200,167698,4569396,7,2016,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
201,167698,4569396,8,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0
